Total Number of Aligned Reads:	1999989	Total Number of Mapped Genomes:	413							
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|435590|org|Bacteroides_vulgatus_ATCC_8482	0.065	0	65000	0.115538135	0.000851005	0.011759307	0.01315258	2.630.501.631.037.060	0.003332518	0.075810917
ti|552531|org|Bifidobacterium_animalis_subsp._lactis_BB-12	0.07	0	70000	0.075212914	0	0.012812581	0.013066618	26.133.091.504.869.100	0.000529503	0.073973407
ti|862962|org|Bacteroides_fragilis_638R	0.05	0	50000	0.043450739	0	0.043427972	0.043431003	868.615.277.777.776	0.043421739	"2,85E+10"
ti|226185|org|Enterococcus_faecalis_V583	0.045	0	45000	0.037611707	"2,00E+07"	0.008220152	0.008843098	1.768.609.815.677.240	0.000996005	0.035061693
ti|349741|org|Akkermansia_muciniphila_ATCC_BAA-835	0.05	0	50000	0.040762224	0.002193012	0.008223023	0.009162156	18.324.210.411.811.100	0.003306018	0.028226655
ti|226186|org|Bacteroides_thetaiotaomicron_VPI-5482	0.04	0	40000	0.040139221	0.000126501	0.00451004	0.005519645	11.039.228.832.326.000	0.002148012	0.02730115
ti|391904|org|Bifidobacterium_longum_subsp._infantis_ATCC_15697_=_JCM_1222	0.1	0	100000	0.039049715	0.001214507	0.008493384	0.008935319	17.870.539.829.617.800	0.002172012	0.029673663
ti|910348|org|Escherichia_coli_P12b	0.08	0	80000	0.031143171	0.000391002	0.007466593	0.007937274	15.874.461.156.154.900	0.001125506	0.046121254
ti|1046624|org|Lactococcus_lactis_subsp._lactis_IO-1	0.1	0	100000	0.030245666	"2,50E+10"	0.009238877	0.009703344	19.406.580.592.974.100	0.002570514	0.026025143
ti|645463|org|Clostridium_difficile_R20291	0.4	0	400000	0.029278161	"1,40E+11"	0.020087617	0.021334787	4.266.933.893.156.330	0.017944599	0.008596547
